formula,id,band_gap,formation_energy,energy_above_hull
Dy3Se4,mp-571400,0,-2.057553584,0.058138801
BaLiMg6,mp-1099308,0,0.134452085,0.189684992
TaInS2,mp-22332,0,-1.10424949,0
ErC2,mp-1579,0,-0.195470462,0.080345016
Tb2MgSe4,mp-1232345,1.1144,-1.737895378,0.221604831
Na4Al3Si3ClO16,mp-720111,0.3044,-2.609120479,0.059425833
KNO2,mp-29200,2.3232,-1.285310017,0
Bi14Pb4Cl8O21,mp-1229189,0.5237,-1.605996134,0.085749727
Mg149Be,mp-1185586,0.5244,0.011578638,0.011578638
ZnNi9Ge2,mp-1215729,0,-0.201257304,0.034589103
NdCrO3,mp-19062,1.904,-2.996146958,0.14311416
K3CuPCO7,mp-772819,0.2126,-2.130734224,0.026725782
Th(CuP)2,mp-9581,0.1198,-0.770950678,0
LuWClO4,mp-1103690,3.5573,-2.755428232,0.041176226
Li2Fe3P4(HO4)4,mp-849240,4.1444,-2.216393096,0.021336941
TbPb3,mp-21156,0,-0.296451882,0
Y(TiGa2)2,mp-11445,0,-0.535474724,0.012414277
Li4Fe3Ni3(SbO8)2,mp-761969,0,-1.730743437,0.017598521
TiFeP,mp-1080486,0,-1.03284415,0.029949081
BaSrAg2,mp-1093927,0.1699,1.024428372,1.319214462
CaMgB6(HO)22,mp-720718,4.9561,-1.89715364,0.014579122
Fe13O15,mp-756693,0.9051,-1.483231497,0.077823186
Li4Ni3SbO8,mp-1311728,0,-1.784210305,0.02391331
Nd5Ge3,mp-1465,0,-0.548017641,0.275153719
Li5Mn(CoO4)2,mp-1174028,0,-1.790308816,0.127890662
TiVO4,mp-755748,0,-2.946358805,0.066034531
LaBe13,mp-1193251,0,-0.136425675,0
Li2VF4,mp-1177792,2.9512,-3.058032105,0.036773144
PNO3,mp-1179877,0.292,-1.032399807,0.782203443
Li3Fe2P2(CO7)2,mp-768623,0,-2.177061006,0.045289958
MnSeO5,mp-1239063,0,-1.04063564,0.265406168
LaIn,mp-20582,0,-0.648769407,0
RbGa2P5O16,mp-558390,4.4174,-2.607654131,0
Li7Mn2(CoO4)3,mp-1174485,0.938,-1.89679848,0.063936412
AlFe2W,mp-862288,0,-0.208302922,0
Tb(FeGe)6,mp-21565,0,-0.276174607,0
Nd3CuSiSe7,mp-641534,1.1291,-1.632453711,0
AlGeMo,mp-1228900,0,-0.273077184,0
CeSiAg,mp-1226539,0,-0.385828454,0.032673675
FeCoPt2,mp-1225018,0,0.003732645,0.164205447
K2ScHgBr6,mp-1111989,0,-1.730082087,0.092859212
NaHf2Al2P3(SO8)3,mp-2716297,3.869,-2.779864845,0.028124015
NaNiCSO7,mp-863078,0.0733,-1.741425221,0.045214938
HfP2(H3O5)2,mp-697913,5.2369,-2.037901226,0.01690589
HfMg30CrO32,mp-1038569,0.0207,-2.939352853,0.095339278
Cs3Ti2Cl9,mp-569484,0.2181,-2.07706449,0
Li3Gd3(TeO6)2,mp-1212457,2.8187,-2.736355595,0
ZnCuP2O7,mp-1215559,0.1356,-2.198439387,0.029531327
K2LiMoCl6,mp-1110855,1.4862,-1.707348297,0.037877212
CsMn2V2ClO7,mp-561100,1.8949,-2.304837511,0.003752725
BaIrO3,mp-4307,0,-1.973356372,0.047177417
DyGa2Co3,mp-1106015,0,-0.36075702,0
Mg2InN2,mp-1247445,0,-0.236507015,0.367745543
Sb3O7,mp-1044095,0,-1.350125429,0.085729385
Ba21Al40,mp-567701,0,-0.243331176,0
Mn15CrO32,mp-771190,1.0598,-1.768798501,0.064934253
LiMnSiO4,mp-753095,0.9032,-2.564831415,0.096303137
Cu6Te2Mo2H2Cl4O15,mp-1226362,0,-1.30014387,0.028721806
LiCaUF8,mp-632402,0.3839,-3.767349779,0.025278989
MnOF,mp-752784,0.0751,-2.317912765,0.076082373
P4WO12,mp-767776,2.7895,-2.470505777,0.019781965
Pr5Bi3Br,mp-1209360,0,-1.086570586,0
HoZn(WO3)2,mp-1041307,0.9379,-2.270970411,0.188468139
ScAu2,mp-1018148,0,-0.879585752,0
K3AlO3,mp-9157,2.8977,-2.255357808,0
KZn13,mp-784,0,-0.095411179,0
MgNbV3O8,mp-2219288,0.6724,-2.589043324,0.182946064
NaPO4,mp-1180166,0.0897,-1.670828104,0.531662482
In10Sb9Te,mp-37501,0,-0.101632855,0.132797901
TmMg,mp-1505,0,-0.074637223,0
MgTiCrO4,mp-2227419,0,-2.762676644,0.2156955
CsTmH3,mp-1207081,0,-0.262679505,0.318203783
TiFe2O5,mp-19255,0,-2.306743978,0.073019713
Tm2B6Os,mp-1203429,0,-0.702599367,0
BaMg(FeS2)2,mp-2227518,0,-0.928137596,0.447989392
Li4Nb3Cu3(TeO8)2,mp-774886,0,-2.083409815,0.094079129
Sr6Ca4Cu17O29,mp-1218738,0,-1.614252341,0.025722224
Na6CaTi3Si2(PO6)4,mp-2715370,2.5166,-2.949891726,0.046543599
MgV4(O2F)4,mp-2224725,1.247,-2.61016213,0.123175713
NaHF2,mp-632282,6.6772,-2.278564244,0.19061428
Na6Te(PO5)6,mp-1197343,0.0062,-1.498698572,0.469754394
K3Ce,mp-1185353,0,0.810932111,0.810932111
CuHO2,mp-996999,0,-0.744300856,0.043334231
ZrGa6FeCo5,mp-1215361,0,-0.059450043,0.281200578
CsNaNbOF5,mp-1213599,4.3489,-3.266053156,0
HfGaCo,mp-1224583,0,-0.400335758,0.128868332
MnP4,mp-569522,0.4786,-0.359478628,0
C2SeN2,mp-639826,3.336,0.451397907,0.451397907
HfGaCu,mp-1018714,0,-0.382586553,0
NdEuHg2,mp-1186311,0,-0.584440167,0.000769463
Sc3OsC4,mp-867215,0,-0.437704329,0
NdGa3,mp-567454,0,-0.517058887,0.122349716
Na30Ca20Nb4Si9(S3O16)9,mp-2714668,1.4932,-2.533764908,0.09211344
MgVCrS4,mp-1247080,0,-1.230827206,0.074303551
Er4MgTi2O10,mp-2229324,0,-3.533202777,0.192655024
Ca8Mg5Fe2(SiO3)16,mp-532705,3.5486,-3.225715563,0.026665661
LiMn3(BO3)3,mp-781682,0.1731,-2.398762634,0.086813679
AuCS2Cl3,mp-556112,1.8955,-0.506878316,0.028529479
Li3CrSiCO7,mp-774236,2.8655,-2.496893475,0.037474404
VSb(PO4)2,mp-755953,1.9271,-2.461102741,0.06389976
Cu2Ni11O13,mp-757285,0,-0.158160571,1.015421007
Rb3MgH5,mp-643712,3.0455,-0.283637037,0.007847153
VN,mp-925,0,-1.162422889,0.19010503
NaLiV2O6,mp-769511,2.846,-2.383794988,0.015475568
ScAs,mp-12982,0,-1.102195284,0.483481375
VCrO3,mp-807999,0,0.185744211,2.633730311
La4P9Rh8,mp-1200868,0,-1.10318969,0
HgP2Se,mp-631293,0,0.735410852,0.853871208
Si5O8,mp-1179651,3.4528,-2.513374603,0.298149724
U(HO2)2,mp-626864,1.5566,-2.536036749,0.074179732
Th(CoP)2,mp-1079824,0,-1.039404355,0
MnAl2Fe,mp-1093629,0,2.375522478,2.675108858
Pr3(Co2Sn)4,mp-1209618,0,-0.252396867,0.077958184
Na4Eu2GeP4,mp-1221300,0,-0.615494935,0
Rb6Ti2O7,mp-770408,3.7558,-2.507182109,0
Rb3H(SeO4)2,mp-1219652,3.4013,-1.656922316,0
Li5FeO4,mp-780192,2.5873,-1.993256733,0.047047925
Sr6Y2Co3(Cu2O7)3,mp-1845875,0,-2.091740106,0.050883668
Na3YTi3(PO4)6,mp-2714643,2.1279,-3.011373551,0.030310716
Fe2(TeO3)3,mp-605856,1.6098,-1.563504954,0.004514499
SbI(OF4)2,mp-557917,2.2627,-1.959598903,0.025335647
K3S3NO11,mp-1197439,0,-1.435969138,0.528739715
Ti13Al9Co8,mp-1217391,0,-0.500129107,0
NbCr3(AgS4)2,mp-1239260,0,-0.708583715,0.210850964
SmFe5,mp-1566,0,0.006497711,0.006497711
Li2MnCoO4,mp-1173901,0,-1.866080088,0.084810887
GaS2NO8,mp-1212631,0,-1.13090836,0.550687758
